# GCMC Statistics File
# Generated by PyGCMC
# Step Energy(kJ/mol) N_total Accept_rate InsAtt InsAcc DelAtt DelAcc TrnAtt TrnAcc RotAtt RotAcc
     100   0.000000e+00        0     0.0000         35          0          0          0         28          0         38          0
     200   0.000000e+00        0     0.0000         74          0          0          0         65          0         62          0
     300   0.000000e+00        0     0.0000        104          0          0          0         97          0        100          0
     400   0.000000e+00        0     0.0000        134          0          0          0        132          0        135          0
     500   0.000000e+00        0     0.0000        178          0          0          0        158          0        165          0
     600   0.000000e+00        0     0.0000        211          0          0          0        200          0        190          0
     700   0.000000e+00        0     0.0000        238          0          0          0        240          0        223          0
     800   0.000000e+00        0     0.0000        271          0          0          0        272          0        258          0
     900   0.000000e+00        0     0.0000        300          0          0          0        307          0        294          0
    1000   0.000000e+00        0     0.0000        339          0          0          0        342          0        319          0
